borough,major_category,num_crime,year,month
Barking and Dagenham,Robbery,56,2012,10
Barking and Dagenham,Sexual Offences,0,2012,10
Barking and Dagenham,Theft and Handling,526,2012,10
Barking and Dagenham,Violence Against the Person,323,2012,10
Barking and Dagenham,Burglary,253,2012,11
Barking and Dagenham,Criminal Damage,123,2012,11
Barking and Dagenham,Drugs,122,2012,11
Barking and Dagenham,Fraud or Forgery,0,2012,11
Barking and Dagenham,Other Notifiable Offences,15,2012,11
Barking and Dagenham,Robbery,46,2012,11
Barking and Dagenham,Sexual Offences,0,2012,11
Barking and Dagenham,Theft and Handling,545,2012,11
Barking and Dagenham,Violence Against the Person,288,2012,11
Barking and Dagenham,Burglary,245,2012,12
Barking and Dagenham,Criminal Damage,136,2012,12
Barking and Dagenham,Drugs,73,2012,12
Barking and Dagenham,Fraud or Forgery,0,2012,12
Barking and Dagenham,Other Notifiable Offences,13,2012,12
Barking and Dagenham,Robbery,49,2012,12
Barking and Dagenham,Sexual Offences,0,2012,12
Barking and Dagenham,Theft and Handling,469,2012,12
Barking and Dagenham,Violence Against the Person,275,2012,12
Barking and Dagenham,Burglary,261,2013,1
Barking and Dagenham,Criminal Damage,138,2013,1
Barking and Dagenham,Drugs,85,2013,1
Barking and Dagenham,Fraud or Forgery,0,2013,1
Barking and Dagenham,Other Notifiable Offences,18,2013,1
Barking and Dagenham,Robbery,66,2013,1
Barking and Dagenham,Sexual Offences,0,2013,1
Barking and Dagenham,Theft and Handling,560,2013,1
Barking and Dagenham,Violence Against the Person,325,2013,1
Barking and Dagenham,Burglary,251,2013,2
Barking and Dagenham,Criminal Damage,142,2013,2
Barking and Dagenham,Drugs,95,2013,2
Barking and Dagenham,Fraud or Forgery,0,2013,2
Barking and Dagenham,Other Notifiable Offences,24,2013,2
Barking and Dagenham,Robbery,49,2013,2
Barking and Dagenham,Sexual Offences,0,2013,2
Barking and Dagenham,Theft and Handling,578,2013,2
Barking and Dagenham,Violence Against the Person,284,2013,2
Barking and Dagenham,Burglary,242,2013,3
Barking and Dagenham,Criminal Damage,125,2013,3
Barking and Dagenham,Drugs,97,2013,3
Barking and Dagenham,Fraud or Forgery,0,2013,3
Barking and Dagenham,Other Notifiable Offences,31,2013,3
